Title,Description,URL,Access note,Subjects,Resource type,Access model,Provider
2000 China county population census data with GIS maps,"Geospatial dataset related to 2000 China county population census data with GIS maps. Hosted by Yale Library for mapping, spatial analysis, and place-based research.",http://ssrs.yale.edu/data/SSDA/chinadatacenter2000counties/,Hosted by Yale Library. Quicksearch and full-text links are included where available.,GIS & Spatial Data; Social Sciences,Geospatial Data,Hosted by Yale Library,Yale Library
2002 Gallup poll of the Islamic world,"Survey dataset related to 2002 Gallup poll of the Islamic world. Hosted by Yale Library for social science, policy, demographic, or public opinion research.",https://articles.library.yale.edu/openurl/01YALE_INST/01YALE_INST:01YALE_INST?rft.mms_id=99105234603408651&u.ignore_date_coverage=true,Hosted by Yale Library. Quicksearch and full-text links are included where available.,Social Sciences,Survey Data,Hosted by Yale Library,Yale Library
2006 Statistics of Income public use tax file,"Linguistic dataset related to 2006 Statistics of Income public use tax file. Hosted by Yale Library for language research, natural language processing, speech analysis, and computational linguistics workflows.",http://ssrs.yale.edu/data/SSDA/IRS/SOI/,Hosted by Yale Library. Quicksearch and full-text links are included where available.,Humanities & History; Technology & Innovation; Business & Economics,Linguistic Data,Hosted by Yale Library,Yale Library
2007 CoNLL shared task : Arabic & Engish,"Geospatial dataset related to 2007 CoNLL shared task : Arabic & Engish. Hosted by Yale Library for mapping, spatial analysis, and place-based research.",https://articles.library.yale.edu/openurl/01YALE_INST/01YALE_INST:01YALE_INST?rft.mms_id=99155716233408651&u.ignore_date_coverage=true,Hosted by Yale Library. Quicksearch and full-text links are included where available.,GIS & Spatial Data; Social Sciences,Geospatial Data,Hosted by Yale Library,Yale Library
"2007 CoNLL shared task : Basque, Catalan, Czech & Turkish","Linguistic dataset related to 2007 CoNLL shared task : Basque, Catalan, Czech & Turkish. Hosted by Yale Library for language research, natural language processing, speech analysis, and computational linguistics workflows.",https://articles.library.yale.edu/openurl/01YALE_INST/01YALE_INST:01YALE_INST?rft.mms_id=99155715993408651&u.ignore_date_coverage=true,Hosted by Yale Library. Quicksearch and full-text links are included where available.,Humanities & History; Technology & Innovation,Linguistic Data,Hosted by Yale Library,Yale Library
2009 CoNLL shared task. Part 2.,"Linguistic dataset related to 2009 CoNLL shared task. Part 2. Hosted by Yale Library for language research, natural language processing, speech analysis, and computational linguistics workflows.",https://articles.library.yale.edu/openurl/01YALE_INST/01YALE_INST:01YALE_INST?rft.mms_id=99155690553408651&u.ignore_date_coverage=true,Hosted by Yale Library. Quicksearch and full-text links are included where available.,Humanities & History; Technology & Innovation,Linguistic Data,Hosted by Yale Library,Yale Library
2010 NIST language recognition evaluation : test set,"Linguistic dataset related to 2010 NIST language recognition evaluation : test set. Hosted by Yale Library for language research, natural language processing, speech analysis, and computational linguistics workflows.",https://articles.library.yale.edu/openurl/01YALE_INST/01YALE_INST:01YALE_INST?rft.mms_id=99171665533408651&u.ignore_date_coverage=true,Hosted by Yale Library. Quicksearch and full-text links are included where available.,Humanities & History; Technology & Innovation,Linguistic Data,Hosted by Yale Library,Yale Library
2011 NIST language recognition evaluation : test set,"Linguistic dataset related to 2011 NIST language recognition evaluation : test set. Hosted by Yale Library for language research, natural language processing, speech analysis, and computational linguistics workflows.",https://articles.library.yale.edu/openurl/01YALE_INST/01YALE_INST:01YALE_INST?rft.mms_id=99155647353408651&u.ignore_date_coverage=true,Hosted by Yale Library. Quicksearch and full-text links are included where available.,Humanities & History; Technology & Innovation,Linguistic Data,Hosted by Yale Library,Yale Library
2015-2016 CoNLL Shared Task,"Linguistic dataset related to 2015-2016 CoNLL Shared Task. Hosted by Yale Library for language research, natural language processing, speech analysis, and computational linguistics workflows.",https://articles.library.yale.edu/openurl/01YALE_INST/01YALE_INST:01YALE_INST?rft.mms_id=99135058393408651&u.ignore_date_coverage=true,Hosted by Yale Library. Quicksearch and full-text links are included where available.,Humanities & History; Technology & Innovation,Linguistic Data,Hosted by Yale Library,Yale Library
2016 NIST speaker recognition evaluation : test set,"Linguistic dataset related to 2016 NIST speaker recognition evaluation : test set. Hosted by Yale Library for language research, natural language processing, speech analysis, and computational linguistics workflows.",https://articles.library.yale.edu/openurl/01YALE_INST/01YALE_INST:01YALE_INST?rft.mms_id=99155780003408651&u.ignore_date_coverage=true,Hosted by Yale Library. Quicksearch and full-text links are included where available.,Humanities & History; Technology & Innovation,Linguistic Data,Hosted by Yale Library,Yale Library
2017 NIST language recognition evaluation Training and development sets,"Linguistic dataset related to 2017 NIST language recognition evaluation Training and development sets. Hosted by Yale Library for language research, natural language processing, speech analysis, and computational linguistics workflows.",https://articles.library.yale.edu/openurl/01YALE_INST/01YALE_INST:01YALE_INST?rft.mms_id=99164746923408651&u.ignore_date_coverage=true,Hosted by Yale Library. Quicksearch and full-text links are included where available.,Humanities & History; Technology & Innovation,Linguistic Data,Hosted by Yale Library,Yale Library
2017 NIST OpenSAT Pilot - SSSF,"Linguistic dataset related to 2017 NIST OpenSAT Pilot - SSSF. Hosted by Yale Library for language research, natural language processing, speech analysis, and computational linguistics workflows.",https://articles.library.yale.edu/openurl/01YALE_INST/01YALE_INST:01YALE_INST?rft.mms_id=99163101173408651&u.ignore_date_coverage=true,Hosted by Yale Library. Quicksearch and full-text links are included where available.,Humanities & History; Technology & Innovation,Linguistic Data,Hosted by Yale Library,Yale Library
2018 NIST speaker recognition evaluation : test set,"Linguistic dataset related to 2018 NIST speaker recognition evaluation : test set. Hosted by Yale Library for language research, natural language processing, speech analysis, and computational linguistics workflows.",https://articles.library.yale.edu/openurl/01YALE_INST/01YALE_INST:01YALE_INST?rft.mms_id=99155647103408651&u.ignore_date_coverage=true,Hosted by Yale Library. Quicksearch and full-text links are included where available.,Humanities & History; Technology & Innovation,Linguistic Data,Hosted by Yale Library,Yale Library
2019 NIST speaker recognition evaluation test set : CTS challenge,"Linguistic dataset related to 2019 NIST speaker recognition evaluation test set : CTS challenge. Hosted by Yale Library for language research, natural language processing, speech analysis, and computational linguistics workflows.",https://articles.library.yale.edu/openurl/01YALE_INST/01YALE_INST:01YALE_INST?rft.mms_id=99166787473408651&u.ignore_date_coverage=true,Hosted by Yale Library. Quicksearch and full-text links are included where available.,Humanities & History; Technology & Innovation,Linguistic Data,Hosted by Yale Library,Yale Library
2019 OpenSAT public safty communications simulation,"Dataset related to 2019 OpenSAT public safty communications simulation. Hosted by Yale Library for research, analysis, and data-intensive scholarship.",https://articles.library.yale.edu/openurl/01YALE_INST/01YALE_INST:01YALE_INST?rft.mms_id=99168746693408651&u.ignore_date_coverage=true,Hosted by Yale Library. Quicksearch and full-text links are included where available.,Social Sciences,Dataset,Hosted by Yale Library,Yale Library
2022 NIST language recognition evaluation test and development sets,"Linguistic dataset related to 2022 NIST language recognition evaluation test and development sets. Hosted by Yale Library for language research, natural language processing, speech analysis, and computational linguistics workflows.",https://articles.library.yale.edu/openurl/01YALE_INST/01YALE_INST:01YALE_INST?rft.mms_id=991011288352108651&u.ignore_date_coverage=true,Hosted by Yale Library. Quicksearch and full-text links are included where available.,Humanities & History; Technology & Innovation,Linguistic Data,Hosted by Yale Library,Yale Library
Abstract Meaning Representation (AMR) Annotation Release 2.0,"Linguistic dataset related to Abstract Meaning Representation (AMR) Annotation Release 2.0. Hosted by Yale Library for language research, natural language processing, speech analysis, and computational linguistics workflows.",https://articles.library.yale.edu/openurl/01YALE_INST/01YALE_INST:01YALE_INST?rft.mms_id=99135058053408651&u.ignore_date_coverage=true,Hosted by Yale Library. Quicksearch and full-text links are included where available.,Humanities & History; Technology & Innovation,Linguistic Data,Hosted by Yale Library,Yale Library
Abstract Meaning Representation (AMR) annotation release 3.0.,"Linguistic dataset related to Abstract Meaning Representation (AMR) annotation release 3.0. Hosted by Yale Library for language research, natural language processing, speech analysis, and computational linguistics workflows.",https://articles.library.yale.edu/openurl/01YALE_INST/01YALE_INST:01YALE_INST?rft.mms_id=99155843913408651&u.ignore_date_coverage=true,Hosted by Yale Library. Quicksearch and full-text links are included where available.,Humanities & History; Technology & Innovation,Linguistic Data,Hosted by Yale Library,Yale Library
Abstract Meaning Representation 2.0: four translations,"Linguistic dataset related to Abstract Meaning Representation 2.0: four translations. Hosted by Yale Library for language research, natural language processing, speech analysis, and computational linguistics workflows.",https://articles.library.yale.edu/openurl/01YALE_INST/01YALE_INST:01YALE_INST?rft.mms_id=99155594323408651&u.ignore_date_coverage=true,Hosted by Yale Library. Quicksearch and full-text links are included where available.,Humanities & History; Technology & Innovation,Linguistic Data,Hosted by Yale Library,Yale Library
Abstract meaning representation 3.0 : machine translations,"Linguistic dataset related to Abstract meaning representation 3.0 : machine translations. Hosted by Yale Library for language research, natural language processing, speech analysis, and computational linguistics workflows.",https://articles.library.yale.edu/openurl/01YALE_INST/01YALE_INST:01YALE_INST?rft.mms_id=99175547393408651&u.ignore_date_coverage=true,Hosted by Yale Library. Quicksearch and full-text links are included where available.,Humanities & History; Technology & Innovation,Linguistic Data,Hosted by Yale Library,Yale Library
AIDA scenario 1 and 2 reference knowledge base,"Dataset related to AIDA scenario 1 and 2 reference knowledge base. Hosted by Yale Library for research, analysis, and data-intensive scholarship.",https://articles.library.yale.edu/openurl/01YALE_INST/01YALE_INST:01YALE_INST?rft.mms_id=99168746103408651&u.ignore_date_coverage=true,Hosted by Yale Library. Quicksearch and full-text links are included where available.,Social Sciences,Dataset,Hosted by Yale Library,Yale Library
AIDA scenario 1 practice topic annotation,"Linguistic dataset related to AIDA scenario 1 practice topic annotation. Hosted by Yale Library for language research, natural language processing, speech analysis, and computational linguistics workflows.",https://articles.library.yale.edu/openurl/01YALE_INST/01YALE_INST:01YALE_INST?rft.mms_id=99169965203408651&u.ignore_date_coverage=true,Hosted by Yale Library. Quicksearch and full-text links are included where available.,Humanities & History; Technology & Innovation,Linguistic Data,Hosted by Yale Library,Yale Library
AIDA scenario 1 practice topic source data,"Dataset related to AIDA scenario 1 practice topic source data. Hosted by Yale Library for research, analysis, and data-intensive scholarship.",https://articles.library.yale.edu/openurl/01YALE_INST/01YALE_INST:01YALE_INST?rft.mms_id=99168746193408651&u.ignore_date_coverage=true,Hosted by Yale Library. Quicksearch and full-text links are included where available.,Social Sciences,Dataset,Hosted by Yale Library,Yale Library
AIDA scenario 2 practice topic annotation,"Linguistic dataset related to AIDA scenario 2 practice topic annotation. Hosted by Yale Library for language research, natural language processing, speech analysis, and computational linguistics workflows.",https://articles.library.yale.edu/openurl/01YALE_INST/01YALE_INST:01YALE_INST?rft.mms_id=99173664073408651&u.ignore_date_coverage=true,Hosted by Yale Library. Quicksearch and full-text links are included where available.,Humanities & History; Technology & Innovation,Linguistic Data,Hosted by Yale Library,Yale Library
AIDA Ukrainian broadcast and telephone speech audio and transcripts,"Linguistic dataset related to AIDA Ukrainian broadcast and telephone speech audio and transcripts. Hosted by Yale Library for language research, natural language processing, speech analysis, and computational linguistics workflows.",https://articles.library.yale.edu/openurl/01YALE_INST/01YALE_INST:01YALE_INST?rft.mms_id=99165721563408651&u.ignore_date_coverage=true,Hosted by Yale Library. Quicksearch and full-text links are included where available.,Humanities & History; Technology & Innovation,Linguistic Data,Hosted by Yale Library,Yale Library
AISHELL-1,"Linguistic dataset related to AISHELL-1. Hosted by Yale Library for language research, natural language processing, speech analysis, and computational linguistics workflows.",https://articles.library.yale.edu/openurl/01YALE_INST/01YALE_INST:01YALE_INST?rft.mms_id=99171663643408651&u.ignore_date_coverage=true,Hosted by Yale Library. Quicksearch and full-text links are included where available.,Humanities & History; Technology & Innovation,Linguistic Data,Hosted by Yale Library,Yale Library
ALISE statistical report 2015,"Linguistic dataset related to ALISE statistical report 2015. Hosted by Yale Library for language research, natural language processing, speech analysis, and computational linguistics workflows.",https://articles.library.yale.edu/openurl/01YALE_INST/01YALE_INST:01YALE_INST?rft.mms_id=99130269203408651&u.ignore_date_coverage=true,Hosted by Yale Library. Quicksearch and full-text links are included where available.,Humanities & History; Technology & Innovation,Linguistic Data,Hosted by Yale Library,Yale Library
All India digital base map,"Geospatial dataset related to All India digital base map. Hosted by Yale Library for mapping, spatial analysis, and place-based research.",https://articles.library.yale.edu/openurl/01YALE_INST/01YALE_INST:01YALE_INST?rft.mms_id=99105267173408651&u.ignore_date_coverage=true,Hosted by Yale Library. Quicksearch and full-text links are included where available.,GIS & Spatial Data; Social Sciences,Geospatial Data,Hosted by Yale Library,Yale Library
America's Congress : [dataset],"Dataset related to America's Congress : [dataset]. Hosted by Yale Library for research, analysis, and data-intensive scholarship.",https://articles.library.yale.edu/openurl/01YALE_INST/01YALE_INST:01YALE_INST?rft.mms_id=99105822693408651&u.ignore_date_coverage=true,Hosted by Yale Library. Quicksearch and full-text links are included where available.,Government & Public Policy,Dataset,Hosted by Yale Library,Yale Library
Amostra de uso público do censo demográfico de 1980,"Dataset related to Amostra de uso público do censo demográfico de 1980. Hosted by Yale Library for research, analysis, and data-intensive scholarship.",https://articles.library.yale.edu/openurl/01YALE_INST/01YALE_INST:01YALE_INST?rft.mms_id=997563373408651&u.ignore_date_coverage=true,Hosted by Yale Library. Quicksearch and full-text links are included where available.,Social Sciences,Dataset,Hosted by Yale Library,Yale Library
An English dictionary of the Tamil verb [dataset],"Linguistic dataset related to An English dictionary of the Tamil verb [dataset]. Hosted by Yale Library for language research, natural language processing, speech analysis, and computational linguistics workflows.",https://articles.library.yale.edu/openurl/01YALE_INST/01YALE_INST:01YALE_INST?rft.mms_id=99127511293408651&u.ignore_date_coverage=true,Hosted by Yale Library. Quicksearch and full-text links are included where available.,Humanities & History; Technology & Innovation,Linguistic Data,Hosted by Yale Library,Yale Library
Ancient Chinese corpus,"Linguistic dataset related to Ancient Chinese corpus. Hosted by Yale Library for language research, natural language processing, speech analysis, and computational linguistics workflows.",https://articles.library.yale.edu/openurl/01YALE_INST/01YALE_INST:01YALE_INST?rft.mms_id=99135058453408651&u.ignore_date_coverage=true,Hosted by Yale Library. Quicksearch and full-text links are included where available.,Humanities & History; Technology & Innovation,Linguistic Data,Hosted by Yale Library,Yale Library
Arabic speech recognition pronunciation dictionary,"Linguistic dataset related to Arabic speech recognition pronunciation dictionary. Hosted by Yale Library for language research, natural language processing, speech analysis, and computational linguistics workflows.",https://articles.library.yale.edu/openurl/01YALE_INST/01YALE_INST:01YALE_INST?rft.mms_id=99132011933408651&u.ignore_date_coverage=true,Hosted by Yale Library. Quicksearch and full-text links are included where available.,Humanities & History; Technology & Innovation,Linguistic Data,Hosted by Yale Library,Yale Library
Arabic treebank - weblog,"Linguistic dataset related to Arabic treebank - weblog. Hosted by Yale Library for language research, natural language processing, speech analysis, and computational linguistics workflows.",https://articles.library.yale.edu/openurl/01YALE_INST/01YALE_INST:01YALE_INST?rft.mms_id=99131969963408651&u.ignore_date_coverage=true,Hosted by Yale Library. Quicksearch and full-text links are included where available.,Humanities & History; Technology & Innovation; Business & Economics,Linguistic Data,Hosted by Yale Library,Yale Library
ARL Arabic dependency treebank,"Linguistic dataset related to ARL Arabic dependency treebank. Hosted by Yale Library for language research, natural language processing, speech analysis, and computational linguistics workflows.",https://articles.library.yale.edu/openurl/01YALE_INST/01YALE_INST:01YALE_INST?rft.mms_id=99132010923408651&u.ignore_date_coverage=true,Hosted by Yale Library. Quicksearch and full-text links are included where available.,Humanities & History; Technology & Innovation; Business & Economics,Linguistic Data,Hosted by Yale Library,Yale Library
ATIS : seven languages,"Linguistic dataset related to ATIS : seven languages. Hosted by Yale Library for language research, natural language processing, speech analysis, and computational linguistics workflows.",https://articles.library.yale.edu/openurl/01YALE_INST/01YALE_INST:01YALE_INST?rft.mms_id=99157206293408651&u.ignore_date_coverage=true,Hosted by Yale Library. Quicksearch and full-text links are included where available.,Humanities & History; Technology & Innovation,Linguistic Data,Hosted by Yale Library,Yale Library
AttImam,"Dataset related to AttImam. Hosted by Yale Library for research, analysis, and data-intensive scholarship.",https://articles.library.yale.edu/openurl/01YALE_INST/01YALE_INST:01YALE_INST?rft.mms_id=99163036443408651&u.ignore_date_coverage=true,Hosted by Yale Library. Quicksearch and full-text links are included where available.,Social Sciences,Dataset,Hosted by Yale Library,Yale Library
Automatic content extraction for Portuguese,"Dataset related to Automatic content extraction for Portuguese. Hosted by Yale Library for research, analysis, and data-intensive scholarship.",https://articles.library.yale.edu/openurl/01YALE_INST/01YALE_INST:01YALE_INST?rft.mms_id=99171916093408651&u.ignore_date_coverage=true,Hosted by Yale Library. Quicksearch and full-text links are included where available.,Social Sciences,Dataset,Hosted by Yale Library,Yale Library
Avatar education Portuguese,"Dataset related to Avatar education Portuguese. Hosted by Yale Library for research, analysis, and data-intensive scholarship.",https://articles.library.yale.edu/openurl/01YALE_INST/01YALE_INST:01YALE_INST?rft.mms_id=99155747063408651&u.ignore_date_coverage=true,Hosted by Yale Library. Quicksearch and full-text links are included where available.,Social Sciences,Dataset,Hosted by Yale Library,Yale Library
Bamanankan lexicon,"Linguistic dataset related to Bamanankan lexicon. Hosted by Yale Library for language research, natural language processing, speech analysis, and computational linguistics workflows.",https://articles.library.yale.edu/openurl/01YALE_INST/01YALE_INST:01YALE_INST?rft.mms_id=99132011833408651&u.ignore_date_coverage=true,Hosted by Yale Library. Quicksearch and full-text links are included where available.,Humanities & History; Technology & Innovation,Linguistic Data,Hosted by Yale Library,Yale Library
"BLLIP North American news text, complete","Dataset related to BLLIP North American news text, complete. Hosted by Yale Library for research, analysis, and data-intensive scholarship.",https://articles.library.yale.edu/openurl/01YALE_INST/01YALE_INST:01YALE_INST?rft.mms_id=99135095303408651&u.ignore_date_coverage=true,Hosted by Yale Library. Quicksearch and full-text links are included where available.,News & Media,Dataset,Hosted by Yale Library,Yale Library
BOLT Arabic discussion forum parallel training data,"Linguistic dataset related to BOLT Arabic discussion forum parallel training data. Hosted by Yale Library for language research, natural language processing, speech analysis, and computational linguistics workflows.",https://articles.library.yale.edu/openurl/01YALE_INST/01YALE_INST:01YALE_INST?rft.mms_id=99155796773408651&u.ignore_date_coverage=true,Hosted by Yale Library. Quicksearch and full-text links are included where available.,Humanities & History; Technology & Innovation,Linguistic Data,Hosted by Yale Library,Yale Library
BOLT Arabic discussion forums,"Linguistic dataset related to BOLT Arabic discussion forums. Hosted by Yale Library for language research, natural language processing, speech analysis, and computational linguistics workflows.",https://articles.library.yale.edu/openurl/01YALE_INST/01YALE_INST:01YALE_INST?rft.mms_id=99155789933408651&u.ignore_date_coverage=true,Hosted by Yale Library. Quicksearch and full-text links are included where available.,Humanities & History; Technology & Innovation,Linguistic Data,Hosted by Yale Library,Yale Library
"BOLT Chinese conference : discussion forum, SMS/Chat, and conversational telephone speech","Linguistic dataset related to BOLT Chinese conference : discussion forum, SMS/Chat, and conversational telephone speech. Hosted by Yale Library for language research, natural language processing, speech analysis, and computational linguistics workflows.",https://articles.library.yale.edu/openurl/01YALE_INST/01YALE_INST:01YALE_INST?rft.mms_id=99157692023408651&u.ignore_date_coverage=true,Hosted by Yale Library. Quicksearch and full-text links are included where available.,Humanities & History; Technology & Innovation,Linguistic Data,Hosted by Yale Library,Yale Library
BOLT Chinese Discussion Forum : parallel training data,"Linguistic dataset related to BOLT Chinese Discussion Forum : parallel training data. Hosted by Yale Library for language research, natural language processing, speech analysis, and computational linguistics workflows.",https://articles.library.yale.edu/openurl/01YALE_INST/01YALE_INST:01YALE_INST?rft.mms_id=99132012443408651&u.ignore_date_coverage=true,Hosted by Yale Library. Quicksearch and full-text links are included where available.,Humanities & History; Technology & Innovation,Linguistic Data,Hosted by Yale Library,Yale Library
BOLT Chinese discussion forums,"Linguistic dataset related to BOLT Chinese discussion forums. Hosted by Yale Library for language research, natural language processing, speech analysis, and computational linguistics workflows.",https://articles.library.yale.edu/openurl/01YALE_INST/01YALE_INST:01YALE_INST?rft.mms_id=99132012633408651&u.ignore_date_coverage=true,Hosted by Yale Library. Quicksearch and full-text links are included where available.,Humanities & History; Technology & Innovation,Linguistic Data,Hosted by Yale Library,Yale Library
BOLT Chinese SMS/Chat,"Linguistic dataset related to BOLT Chinese SMS/Chat. Hosted by Yale Library for language research, natural language processing, speech analysis, and computational linguistics workflows.",https://articles.library.yale.edu/openurl/01YALE_INST/01YALE_INST:01YALE_INST?rft.mms_id=99155792203408651&u.ignore_date_coverage=true,Hosted by Yale Library. Quicksearch and full-text links are included where available.,Humanities & History; Technology & Innovation,Linguistic Data,Hosted by Yale Library,Yale Library
BOLT Chinese-English word alignment and tagging : conversational telephone speech training,"Linguistic dataset related to BOLT Chinese-English word alignment and tagging : conversational telephone speech training. Hosted by Yale Library for language research, natural language processing, speech analysis, and computational linguistics workflows.",https://articles.library.yale.edu/openurl/01YALE_INST/01YALE_INST:01YALE_INST?rft.mms_id=99155635383408651&u.ignore_date_coverage=true,Hosted by Yale Library. Quicksearch and full-text links are included where available.,Humanities & History; Technology & Innovation,Linguistic Data,Hosted by Yale Library,Yale Library
BOLT Chinese-English word alignment and tagging : SMS/Chat training,"Linguistic dataset related to BOLT Chinese-English word alignment and tagging : SMS/Chat training. Hosted by Yale Library for language research, natural language processing, speech analysis, and computational linguistics workflows.",https://articles.library.yale.edu/openurl/01YALE_INST/01YALE_INST:01YALE_INST?rft.mms_id=99155827963408651&u.ignore_date_coverage=true,Hosted by Yale Library. Quicksearch and full-text links are included where available.,Humanities & History; Technology & Innovation,Linguistic Data,Hosted by Yale Library,Yale Library
BOLT Chinese-English word alignment and tagging discussion forum training,"Linguistic dataset related to BOLT Chinese-English word alignment and tagging discussion forum training. Hosted by Yale Library for language research, natural language processing, speech analysis, and computational linguistics workflows.",https://articles.library.yale.edu/openurl/01YALE_INST/01YALE_INST:01YALE_INST?rft.mms_id=99132010983408651&u.ignore_date_coverage=true,Hosted by Yale Library. Quicksearch and full-text links are included where available.,Humanities & History; Technology & Innovation,Linguistic Data,Hosted by Yale Library,Yale Library
"BOLT Egyptian Arabic conference : discussion forum, SMS/Chat, and conversational telephone speech","Linguistic dataset related to BOLT Egyptian Arabic conference : discussion forum, SMS/Chat, and conversational telephone speech. Hosted by Yale Library for language research, natural language processing, speech analysis, and computational linguistics workflows.",https://articles.library.yale.edu/openurl/01YALE_INST/01YALE_INST:01YALE_INST?rft.mms_id=99159894133408651&u.ignore_date_coverage=true,Hosted by Yale Library. Quicksearch and full-text links are included where available.,Humanities & History; Technology & Innovation,Linguistic Data,Hosted by Yale Library,Yale Library
"BOLT Egyptian Arabic PropBank and Sense : discussion forum, SMS/Chat, and conversational telephone speech","Linguistic dataset related to BOLT Egyptian Arabic PropBank and Sense : discussion forum, SMS/Chat, and conversational telephone speech. Hosted by Yale Library for language research, natural language processing, speech analysis, and computational linguistics workflows.",https://articles.library.yale.edu/openurl/01YALE_INST/01YALE_INST:01YALE_INST?rft.mms_id=99163034563408651&u.ignore_date_coverage=true,Hosted by Yale Library. Quicksearch and full-text links are included where available.,Humanities & History; Technology & Innovation; Business & Economics,Linguistic Data,Hosted by Yale Library,Yale Library
BOLT Egyptian Arabic SMS/chat and transliteration,"Linguistic dataset related to BOLT Egyptian Arabic SMS/chat and transliteration. Hosted by Yale Library for language research, natural language processing, speech analysis, and computational linguistics workflows.",https://articles.library.yale.edu/openurl/01YALE_INST/01YALE_INST:01YALE_INST?rft.mms_id=99132075793408651&u.ignore_date_coverage=true,Hosted by Yale Library. Quicksearch and full-text links are included where available.,Humanities & History; Technology & Innovation,Linguistic Data,Hosted by Yale Library,Yale Library
BOLT Egyptian Arabic SMS/Chat parallel training data,"Linguistic dataset related to BOLT Egyptian Arabic SMS/Chat parallel training data. Hosted by Yale Library for language research, natural language processing, speech analysis, and computational linguistics workflows.",https://articles.library.yale.edu/openurl/01YALE_INST/01YALE_INST:01YALE_INST?rft.mms_id=99159894323408651&u.ignore_date_coverage=true,Hosted by Yale Library. Quicksearch and full-text links are included where available.,Humanities & History; Technology & Innovation,Linguistic Data,Hosted by Yale Library,Yale Library
BOLT Egyptian Arabic treebank - SMS/Chat,"Linguistic dataset related to BOLT Egyptian Arabic treebank - SMS/Chat. Hosted by Yale Library for language research, natural language processing, speech analysis, and computational linguistics workflows.",https://articles.library.yale.edu/openurl/01YALE_INST/01YALE_INST:01YALE_INST?rft.mms_id=99163033093408651&u.ignore_date_coverage=true,Hosted by Yale Library. Quicksearch and full-text links are included where available.,Humanities & History; Technology & Innovation; Business & Economics,Linguistic Data,Hosted by Yale Library,Yale Library
BOLT Egyptian Arabic treebank : conversational telephone speech,"Linguistic dataset related to BOLT Egyptian Arabic treebank : conversational telephone speech. Hosted by Yale Library for language research, natural language processing, speech analysis, and computational linguistics workflows.",https://articles.library.yale.edu/openurl/01YALE_INST/01YALE_INST:01YALE_INST?rft.mms_id=99171642143408651&u.ignore_date_coverage=true,Hosted by Yale Library. Quicksearch and full-text links are included where available.,Humanities & History; Technology & Innovation; Business & Economics,Linguistic Data,Hosted by Yale Library,Yale Library
BOLT Egyptian Arabic treebank : discussion forum,"Linguistic dataset related to BOLT Egyptian Arabic treebank : discussion forum. Hosted by Yale Library for language research, natural language processing, speech analysis, and computational linguistics workflows.",https://articles.library.yale.edu/openurl/01YALE_INST/01YALE_INST:01YALE_INST?rft.mms_id=99155796133408651&u.ignore_date_coverage=true,Hosted by Yale Library. Quicksearch and full-text links are included where available.,Humanities & History; Technology & Innovation; Business & Economics,Linguistic Data,Hosted by Yale Library,Yale Library
BOLT Egyptian Arabic-English word alignment : conversational telephone speech training,"Linguistic dataset related to BOLT Egyptian Arabic-English word alignment : conversational telephone speech training. Hosted by Yale Library for language research, natural language processing, speech analysis, and computational linguistics workflows.",https://articles.library.yale.edu/openurl/01YALE_INST/01YALE_INST:01YALE_INST?rft.mms_id=99155593573408651&u.ignore_date_coverage=true,Hosted by Yale Library. Quicksearch and full-text links are included where available.,Humanities & History; Technology & Innovation,Linguistic Data,Hosted by Yale Library,Yale Library
BOLT Egyptian Arabic-English word alignment : SMS/Chat training,"Linguistic dataset related to BOLT Egyptian Arabic-English word alignment : SMS/Chat training. Hosted by Yale Library for language research, natural language processing, speech analysis, and computational linguistics workflows.",https://articles.library.yale.edu/openurl/01YALE_INST/01YALE_INST:01YALE_INST?rft.mms_id=99155834933408651&u.ignore_date_coverage=true,Hosted by Yale Library. Quicksearch and full-text links are included where available.,Humanities & History; Technology & Innovation,Linguistic Data,Hosted by Yale Library,Yale Library
BOLT Egyptian-English word alignment : discussion forum training,"Linguistic dataset related to BOLT Egyptian-English word alignment : discussion forum training. Hosted by Yale Library for language research, natural language processing, speech analysis, and computational linguistics workflows.",https://articles.library.yale.edu/openurl/01YALE_INST/01YALE_INST:01YALE_INST?rft.mms_id=99155805133408651&u.ignore_date_coverage=true,Hosted by Yale Library. Quicksearch and full-text links are included where available.,Humanities & History; Technology & Innovation,Linguistic Data,Hosted by Yale Library,Yale Library
"BOLT English Conference : discussion forum, SMS/chat, and conversational telephone speech","Linguistic dataset related to BOLT English Conference : discussion forum, SMS/chat, and conversational telephone speech. Hosted by Yale Library for language research, natural language processing, speech analysis, and computational linguistics workflows.",https://articles.library.yale.edu/openurl/01YALE_INST/01YALE_INST:01YALE_INST?rft.mms_id=99156806023408651&u.ignore_date_coverage=true,Hosted by Yale Library. Quicksearch and full-text links are included where available.,Humanities & History; Technology & Innovation,Linguistic Data,Hosted by Yale Library,Yale Library
BOLT English discussion forums,"Linguistic dataset related to BOLT English discussion forums. Hosted by Yale Library for language research, natural language processing, speech analysis, and computational linguistics workflows.",https://articles.library.yale.edu/openurl/01YALE_INST/01YALE_INST:01YALE_INST?rft.mms_id=99135059303408651&u.ignore_date_coverage=true,Hosted by Yale Library. Quicksearch and full-text links are included where available.,Humanities & History; Technology & Innovation,Linguistic Data,Hosted by Yale Library,Yale Library
